stock_date,open_price,close_price,low,high,volume,return
2023-10-19,4321.36,4278,4269.69,4339.54,3969730000,-0.85
2023-10-20,4273.85,4224.16,4223.03,4276.56,4004030000,-1.26
2023-10-23,4210.4,4217.04,4189.22,4255.84,3776100000,-0.17
2023-10-24,4235.79,4247.68,4219.43,4259.38,3821820000,0.73
2023-10-25,4232.42,4186.77,4181.42,4232.42,3869370000,-1.43
2023-10-26,4175.99,4137.23,4127.9,4183.6,4277640000,-1.18
2023-10-27,4152.93,4117.37,4103.78,4156.7,4019500000,-0.48
2023-10-30,4139.39,4166.82,4132.94,4177.47,3911140000,1.20
2023-10-31,4171.33,4193.8,4153.12,4195.55,4249470000,0.65
2023-11-01,4201.27,4237.86,4197.74,4245.64,4224900000,1.05
2023-11-02,4268.26,4317.78,4268.26,4319.72,4669780000,1.89
2023-11-03,4334.23,4358.34,4334.23,4373.62,4570960000,0.94
2023-11-06,4364.27,4365.98,4347.53,4372.21,3656340000,0.18
2023-11-07,4366.21,4378.38,4355.41,4386.26,3791230000,0.28
2023-11-08,4384.37,4382.78,4359.76,4391.2,3729510000,0.10
2023-11-09,4391.41,4347.35,4343.94,4393.4,3900780000,-0.81
2023-11-10,4364.15,4415.24,4353.34,4418.03,3665080000,1.56
2023-11-13,4406.66,4411.55,4393.82,4421.76,3326240000,-0.08
2023-11-14,4458.97,4495.7,4458.97,4508.67,4700350000,1.91
2023-11-15,4505.3,4502.88,4495.31,4521.17,4347170000,0.16
2023-11-16,4497.08,4508.24,4487.83,4511.99,3964520000,0.12
2023-11-17,4509.55,4514.02,4499.66,4520.12,3777240000,0.13
2023-11-20,4511.7,4547.38,4510.36,4557.11,3644790000,0.74
2023-11-21,4538.77,4538.19,4525.51,4542.14,3511080000,-0.20
2023-11-22,4553.04,4556.62,4545.05,4568.43,3042810000,0.41
2023-11-24,4555.84,4559.34,4552.8,4560.31,1639500000,0.06
2023-11-27,4554.86,4550.43,4546.32,4560.52,3403990000,-0.20
2023-11-28,4545.55,4554.89,4540.51,4568.14,3586240000,0.10
2023-11-29,4571.84,4550.58,4547.15,4587.64,4418760000,-0.09
2023-11-30,4554.87,4567.8,4537.24,4569.89,5399300000,0.38
2023-12-01,4559.43,4594.63,4554.71,4599.39,4397120000,0.59
